quarter,time,score,action
רבע 4,02:10,72-73,דווייט וילסון אסיסט
רבע 4,06:41,66-65,יונתן קלר אסיסט
רבע 4,09:20,61-60,עמית ראובן אסיסט
רבע 3,02:18,52-59,גל שטרנברג אסיסט
רבע 3,04:15,42-53,אוהד דקל שחקן נכנס למשחק
רבע 3,04:15,42-53,קינדל היל שחקן יוצא מהמגרש
רבע 2,04:43,34-34,ים שפריר אסיסט
רבע 1,00:03,22-22,ים שפריר החטיא 3 נק׳ (jumpshot)
רבע 1,01:35,16-20,נועם יעקובי אסיסט
רבע 1,04:06,10-11,ים שפריר שחקן נכנס למשחק
רבע 1,04:06,10-11,איתם כהן שחקן יוצא מהמגרש
רבע 1,08:36,2-2,עילי שאול אסיסט
רבע 4,03:41,66-69,ים שפריר סחט עבירה
רבע 4,03:41,66-69,נועם יעקובי עבירה אישית (personal)
רבע 4,02:55,69-71,ים שפריר סחט עבירה
רבע 4,02:55,69-71,אמרי שביט עבירה אישית (personal)
רבע 4,03:15,69-71,רוברט טרנר קליעה 3 נק׳ (jumpshot)
רבע 3,00:39,57-60,ים שפריר איבוד כדור
רבע 3,00:39,57-60,ים שפריר חטיפה
רבע 3,00:39,57-60,נועם יעקובי איבוד כדור
רבע 3,00:50,57-60,נועם יעקובי אסיסט
רבע 3,01:16,54-60,רוברט טרנר ריבאונד הגנה
רבע 3,01:16,54-60,יונתן קלר החטיא 3 נק׳ (jumpshot)
רבע 3,01:16,54-60,ים שפריר ריבאונד הגנה
רבע 3,01:16,54-60,דווייט וילסון החטיא 2 נק׳ (layup)
רבע 4,00:01,80-83,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 4,00:04,80-83,עמית ראובן ריבאונד התקפה
רבע 4,00:04,80-83,עמית ראובן זריקת עונשין (2of2)
רבע 4,00:04,80-83,עמית ראובן קליעת עונשין (1of2)
רבע 4,00:04,79-83,אמרי שביט שחקן נכנס למשחק
רבע 4,00:04,79-83,שחר שלמון שחקן יוצא מהמגרש
רבע 4,00:04,79-83,עמית ראובן סחט עבירה
רבע 4,00:04,79-83,עמרי שלף עבירה אישית (personal)
רבע 4,00:07,79-83,קינדל היל קליעת עונשין (2of2)
רבע 4,00:07,79-82,קינדל היל זריקת עונשין (1of2)
רבע 4,00:07,79-82,בן גולד שחקן נכנס למשחק
רבע 4,00:07,79-82,אמרי שביט שחקן יוצא מהמגרש
רבע 4,00:07,79-82,דווייט וילסון שחקן נכנס למשחק
רבע 4,00:07,79-82,בר שינבוים שחקן יוצא מהמגרש
רבע 4,00:07,79-82,קינדל היל סחט עבירה
רבע 4,00:07,79-82,רוברט טרנר עבירה אישית (personal)
רבע 4,00:10,79-82,שחר שלמון שחקן נכנס למשחק
רבע 4,00:10,79-82,דווייט וילסון שחקן יוצא מהמגרש
רבע 4,00:10,79-82,מ.כ עוטף דרום פסק זמן
רבע 4,00:10,79-82,דווייט וילסון קליעה 2 נק׳ (tipindunk)
רבע 4,00:10,77-82,דווייט וילסון ריבאונד התקפה
רבע 4,00:11,77-82,אמרי שביט החטיא 2 נק׳ (layup)
רבע 4,00:13,77-82,מכבי אשדוד ריבאונד הגנה
רבע 4,00:15,77-82,בר שינבוים חסימה של
רבע 4,00:15,77-82,עמרי שלף החטיא 2 נק׳ (layup)
רבע 4,00:20,77-82,ים שפריר ריבאונד הגנה
רבע 4,00:24,77-82,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 4,00:28,77-82,מכבי אשדוד פסק זמן
רבע 4,00:28,77-82,עמרי שלף אסיסט
רבע 4,00:28,77-82,גל שטרנברג קליעה 2 נק׳ (layup)
רבע 4,00:37,77-80,דווייט וילסון קליעה 2 נק׳ (layup)
רבע 4,00:38,75-80,דווייט וילסון ריבאונד התקפה
רבע 4,00:43,75-80,רוברט טרנר החטיא 2 נק׳ (layup)
רבע 4,00:49,75-80,קינדל היל קליעה 2 נק׳ (layup)
רבע 4,00:51,75-78,קינדל היל ריבאונד התקפה
רבע 4,00:56,75-78,ים שפריר החטיא 2 נק׳ (layup)
רבע 4,01:15,75-78,בר שינבוים שחקן נכנס למשחק
רבע 4,01:15,75-78,בן גולד שחקן יוצא מהמגרש
רבע 4,01:15,75-78,מ.כ עוטף דרום פסק זמן
רבע 4,01:15,75-78,רוברט טרנר קליעת עונשין (1of1)
רבע 4,01:15,74-78,עילי שאול שחקן נכנס למשחק
רבע 4,01:15,74-78,נבו זומרפלד שחקן יוצא מהמגרש
רבע 4,01:15,74-78,רוברט טרנר סחט עבירה
רבע 4,01:15,74-78,ים שפריר עבירה אישית (personal)
רבע 4,01:15,74-78,רוברט טרנר קליעה 2 נק׳ (layup)
רבע 4,01:28,72-78,גל שטרנברג אסיסט
רבע 4,01:28,72-78,ים שפריר קליעה 3 נק׳ (jumpshot)
רבע 4,01:43,72-75,עמרי שלף ריבאונד הגנה
רבע 4,01:46,72-75,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 4,01:49,72-75,דווייט וילסון סחט עבירה
רבע 4,01:49,72-75,עמרי שלף עבירה אישית (personal)
רבע 4,02:01,72-75,דווייט וילסון ריבאונד התקפה
רבע 4,02:05,72-75,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 4,02:50,69-71,נבו זומרפלד שחקן נכנס למשחק
רבע 4,02:50,69-71,עילי שאול שחקן יוצא מהמגרש
רבע 4,02:05,72-75,ים שפריר קליעת עונשין (2of2)
רבע 4,02:05,72-74,ים שפריר קליעת עונשין (1of2)
רבע 4,02:05,72-73,ים שפריר סחט עבירה
רבע 4,02:05,72-73,רוברט טרנר עבירה אישית (personal)
רבע 4,02:10,72-73,רוברט טרנר קליעה 3 נק׳ (jumpshot)
רבע 4,02:13,69-73,דווייט וילסון ריבאונד התקפה
רבע 4,02:17,69-73,בן גולד החטיא 3 נק׳ (jumpshot)
רבע 4,02:25,69-73,נבו זומרפלד אסיסט
רבע 4,02:25,69-73,קינדל היל קליעה 2 נק׳ (jumpshot)
רבע 4,02:55,69-71,ים שפריר ריבאונד התקפה
רבע 4,02:58,69-71,עילי שאול החטיא 2 נק׳ (pullupjumpshot)
רבע 4,03:19,66-71,רוברט טרנר ריבאונד התקפה
רבע 4,03:19,66-71,דווייט וילסון החטיא 2 נק׳ (layup)
רבע 4,03:41,66-69,דווייט וילסון שחקן נכנס למשחק
רבע 4,03:41,66-69,נועם יעקובי שחקן יוצא מהמגרש
רבע 4,03:40,66-71,ים שפריר קליעת עונשין (2of2)
רבע 4,03:40,66-70,ים שפריר קליעת עונשין (1of2)
רבע 4,05:37,66-69,רוברט טרנר סחט עבירה
רבע 4,05:37,66-69,ים שפריר עבירה אישית (personal)
רבע 4,03:40,66-69,ים שפריר ריבאונד התקפה
רבע 4,03:42,66-69,גל שטרנברג החטיא 2 נק׳ (layup)
רבע 4,03:51,66-69,עילי שאול חטיפה
רבע 4,03:51,66-69,נועם יעקובי איבוד כדור
רבע 4,03:53,66-69,מכבי אשדוד ריבאונד התקפה
רבע 4,03:54,66-69,רוברט טרנר החטיא 2 נק׳ (layup)
רבע 4,04:07,66-69,אמרי שביט ריבאונד הגנה
רבע 4,04:10,66-69,קינדל היל החטיא 2 נק׳ (layup)
רבע 4,04:36,66-69,בן גולד שחקן נכנס למשחק
רבע 4,04:36,66-69,דווייט וילסון שחקן יוצא מהמגרש
רבע 4,04:37,66-69,קינדל היל סחט עבירה
רבע 4,04:37,66-69,רוברט טרנר איבוד כדור
רבע 4,04:37,66-69,רוברט טרנר עבירה אישית (offensive)
רבע 4,04:54,66-69,דווייט וילסון ריבאונד הגנה
רבע 4,04:58,66-69,גל שטרנברג החטיא 3 נק׳ (jumpshot)
רבע 4,05:04,66-69,גל שטרנברג ריבאונד הגנה
רבע 4,05:08,66-69,עמית ראובן החטיא 2 נק׳ (layup)
רבע 4,05:13,66-69,דווייט וילסון ריבאונד הגנה
רבע 4,05:16,66-69,ים שפריר החטיא 3 נק׳ (jumpshot)
רבע 4,05:25,66-69,ים שפריר ריבאונד הגנה
רבע 4,05:29,66-69,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 4,05:37,66-69,דווייט וילסון ריבאונד הגנה
רבע 4,05:37,66-69,קינדל היל החטיא 2 נק׳ (layup)
רבע 4,05:39,66-69,קינדל היל ריבאונד התקפה
רבע 4,05:44,66-69,עילי שאול החטיא 2 נק׳ (jumpshot)
רבע 4,06:05,66-69,עילי שאול ריבאונד הגנה
רבע 4,06:08,66-69,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 4,06:26,66-69,אמרי שביט שחקן נכנס למשחק
רבע 4,06:26,66-69,בן גולד שחקן יוצא מהמגרש
רבע 4,06:26,66-69,מכבי אשדוד פסק זמן
רבע 4,06:28,66-69,עילי שאול קליעה 3 נק׳ (jumpshot)
רבע 4,06:41,66-66,עמרי שלף קליעת עונשין (2of2)
רבע 4,06:41,66-65,עמרי שלף קליעת עונשין (1of2)
רבע 4,06:41,66-64,גל שטרנברג שחקן נכנס למשחק
רבע 4,06:41,66-64,יונתן קלר שחקן יוצא מהמגרש
רבע 4,06:41,66-64,עמרי שלף סחט עבירה
רבע 4,06:41,66-64,בן גולד עבירה אישית (unsportsmanlike)
רבע 4,06:49,66-64,דווייט וילסון קליעה 2 נק׳ (tipinlayup)
רבע 4,06:49,64-64,דווייט וילסון ריבאונד התקפה
רבע 4,06:56,64-64,עמית ראובן החטיא 2 נק׳ (layup)
רבע 4,07:13,64-64,עמית ראובן סחט עבירה
רבע 4,07:13,64-64,עמרי שלף עבירה אישית (personal)
רבע 4,07:13,64-64,בן גולד ריבאונד הגנה
רבע 4,07:17,64-64,ים שפריר החטיא 3 נק׳ (jumpshot)
רבע 4,07:36,64-64,עמית ראובן איבוד כדור
רבע 4,07:44,64-64,עמרי שלף שחקן נכנס למשחק
רבע 4,07:44,64-64,אוהד דקל שחקן יוצא מהמגרש
רבע 4,07:44,64-64,דווייט וילסון סחט עבירה
רבע 4,07:44,64-64,יונתן קלר עבירה אישית (personal)
רבע 4,07:55,64-64,קינדל היל קליעה 2 נק׳ (tipinlayup)
רבע 4,07:55,64-62,קינדל היל ריבאונד התקפה
רבע 4,08:02,64-62,עילי שאול החטיא 3 נק׳ (jumpshot)
רבע 4,08:21,64-62,עילי שאול ריבאונד הגנה
רבע 4,08:25,64-62,בן גולד החטיא 2 נק׳ (layup)
רבע 4,08:26,64-62,בן גולד ריבאונד התקפה
רבע 4,08:29,64-62,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 4,08:33,64-62,דווייט וילסון ריבאונד הגנה
רבע 4,08:37,64-62,עילי שאול החטיא 2 נק׳ (jumpshot)
רבע 4,08:54,64-62,עמית ראובן אסיסט
רבע 4,08:54,64-62,נועם יעקובי קליעה 3 נק׳ (jumpshot)
רבע 4,09:11,61-62,יונתן קלר קליעה 2 נק׳ (layup)
רבע 4,09:20,61-60,רוברט טרנר קליעה 2 נק׳ (layup)
רבע 4,09:32,59-60,רוברט טרנר חטיפה
רבע 4,09:32,59-60,עילי שאול איבוד כדור
רבע 4,09:49,59-60,עמית ראובן אסיסט
רבע 4,09:49,59-60,דווייט וילסון קליעה 2 נק׳ (layup)
רבע 4,10:00,57-60,עילי שאול שחקן נכנס למשחק
רבע 4,10:00,57-60,איתם כהן שחקן יוצא מהמגרש
רבע 3,00:03,57-60,רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 3,00:03,57-60,רוברט טרנר ריבאונד הגנה
רבע 3,00:03,57-60,אוהד דקל החטיא 3 נק׳ (jumpshot)
רבע 3,00:24,57-60,ים שפריר ריבאונד הגנה
רבע 3,00:25,57-60,בן גולד החטיא 3 נק׳ (jumpshot)
רבע 3,00:44,57-60,נועם יעקובי חטיפה
רבע 3,00:44,57-60,איתם כהן איבוד כדור
רבע 3,00:50,57-60,עמית ראובן קליעה 2 נק׳ (layup)
רבע 3,00:53,55-60,בן גולד ריבאונד הגנה
רבע 3,00:57,55-60,יונתן קלר החטיא 2 נק׳ (jumpshot)
רבע 3,01:08,55-60,ים שפריר ריבאונד הגנה
רבע 3,01:08,55-60,דווייט וילסון זריקת עונשין (2of2)
רבע 3,01:08,55-60,דווייט וילסון קליעת עונשין (1of2)
רבע 3,01:08,54-60,קינדל היל שחקן נכנס למשחק
רבע 3,01:08,54-60,איתם כהן שחקן נכנס למשחק
רבע 3,01:08,54-60,עמרי שלף שחקן יוצא מהמגרש
רבע 3,01:08,54-60,גל שטרנברג שחקן יוצא מהמגרש
רבע 3,01:08,54-60,דווייט וילסון סחט עבירה
רבע 3,01:08,54-60,גל שטרנברג עבירה אישית (personal)
רבע 3,01:11,54-60,עמית ראובן ריבאונד התקפה
רבע 3,01:16,54-60,עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 3,01:30,54-60,בן גולד ריבאונד הגנה
רבע 3,01:41,54-60,בן גולד חסימה של
רבע 3,01:41,54-60,גל שטרנברג החטיא 2 נק׳ (layup)
רבע 3,02:00,54-60,נועם יעקובי אסיסט
רבע 3,02:00,54-60,דווייט וילסון קליעה 2 נק׳ (layup)
רבע 3,02:05,52-60,עמית ראובן ריבאונד התקפה
רבע 3,02:08,52-60,בן גולד החטיא 3 נק׳ (jumpshot)
רבע 3,02:18,52-60,עמרי שלף קליעת עונשין (2of2)
רבע 3,02:18,52-59,עמרי שלף קליעת עונשין (1of2)
רבע 3,02:18,52-58,עמרי שלף סחט עבירה
רבע 3,02:18,52-58,נועם יעקובי עבירה אישית (personal)
רבע 3,02:39,52-58,עמית ראובן אסיסט
רבע 3,02:39,52-58,בן גולד קליעה 3 נק׳ (jumpshot)
רבע 3,02:50,49-58,יונתן קלר קליעה 2 נק׳ (floatingjumpshot)
רבע 3,03:10,49-56,יונתן קלר שחקן נכנס למשחק
רבע 3,03:10,49-56,עילי שאול שחקן יוצא מהמגרש
רבע 3,03:10,49-56,מ.כ עוטף דרום פסק זמן
רבע 3,03:11,49-56,רוברט טרנר אסיסט
רבע 3,03:11,49-56,עמית ראובן קליעה 3 נק׳ (jumpshot)
רבע 3,03:13,46-56,דווייט וילסון ריבאונד הגנה
רבע 3,03:22,46-56,אוהד דקל החטיא 3 נק׳ (jumpshot)
רבע 3,03:35,46-56,נועם יעקובי אסיסט
רבע 3,03:35,46-56,בן גולד קליעה 3 נק׳ (jumpshot)
רבע 3,03:51,43-56,ים שפריר אסיסט
רבע 3,03:51,43-56,עמרי שלף קליעה 3 נק׳ (jumpshot)
רבע 3,04:14,43-53,נועם יעקובי קליעת עונשין (2of2)
רבע 3,04:14,42-53,נועם יעקובי זריקת עונשין (1of2)
רבע 3,04:15,42-53,עמית ראובן שחקן נכנס למשחק
רבע 3,04:15,42-53,אמרי שביט שחקן יוצא מהמגרש
רבע 3,04:15,42-53,ים שפריר שחקן נכנס למשחק
רבע 3,04:15,42-53,נבו זומרפלד שחקן יוצא מהמגרש
רבע 3,04:15,42-53,נועם יעקובי סחט עבירה
רבע 3,04:15,42-53,נבו זומרפלד עבירה אישית (personal)
רבע 3,04:18,42-53,נועם יעקובי חטיפה
רבע 3,04:18,42-53,עמרי שלף איבוד כדור
רבע 3,04:20,42-53,גל שטרנברג ריבאונד הגנה
רבע 3,04:26,42-53,אמרי שביט החטיא 3 נק׳ (jumpshot)
רבע 3,04:58,42-53,אמרי שביט סחט עבירה
רבע 3,04:58,42-53,עמרי שלף עבירה אישית (personal)
רבע 3,05:00,42-53,אמרי שביט ריבאונד הגנה
רבע 3,05:03,42-53,קינדל היל החטיא 3 נק׳ (jumpshot)
רבע 3,05:21,42-53,נועם יעקובי איבוד כדור
רבע 3,05:33,42-53,נועם יעקובי סחט עבירה
רבע 3,05:33,42-53,נבו זומרפלד עבירה אישית (personal)
רבע 3,05:35,42-53,דווייט וילסון ריבאונד הגנה
רבע 3,05:38,42-53,נבו זומרפלד החטיא 3 נק׳ (jumpshot)
רבע 3,05:54,42-53,קינדל היל ריבאונד הגנה
