quarter,time,score,side,action
רבע 4,02:10,72-73,away,רבע 4 02:10 72-73
רבע 4,06:41,66-65,home,רבע 4 06:41 66-65
רבע 4,09:20,61-60,away,רבע 4 09:20 61-60
רבע 3,02:18,52-59,home,רבע 3 02:18 52-59
רבע 3,04:15,42-53,home,רבע 3 04:15 42-53
רבע 3,04:15,42-53,home,רבע 3 04:15 42-53
רבע 2,04:43,34-34,home,רבע 2 04:43 34-34
רבע 1,00:03,22-22,home,רבע 1 00:03 22-22
רבע 1,01:35,16-20,away,רבע 1 01:35 16-20
רבע 1,04:06,10-11,home,רבע 1 04:06 10-11
רבע 1,04:06,10-11,home,רבע 1 04:06 10-11
רבע 1,08:36,2-2,home,רבע 1 08:36 2-2
רבע 4,03:41,66-69,home,רבע 4 03:41 66-69
רבע 4,03:41,66-69,away,רבע 4 03:41 66-69
רבע 4,02:55,69-71,home,רבע 4 02:55 69-71
רבע 4,02:55,69-71,away,רבע 4 02:55 69-71
רבע 4,03:15,69-71,away,רבע 4 03:15 69-71
רבע 3,00:39,57-60,home,רבע 3 00:39 57-60
רבע 3,00:39,57-60,home,רבע 3 00:39 57-60
רבע 3,00:39,57-60,away,רבע 3 00:39 57-60
רבע 3,00:50,57-60,away,רבע 3 00:50 57-60
רבע 3,01:16,54-60,away,רבע 3 01:16 54-60
רבע 3,01:16,54-60,home,רבע 3 01:16 54-60
רבע 3,01:16,54-60,home,רבע 3 01:16 54-60
רבע 3,01:16,54-60,away,רבע 3 01:16 54-60
רבע 4,00:01,80-83,away,רבע 4 00:01 80-83
רבע 4,00:04,80-83,away,רבע 4 00:04 80-83
רבע 4,00:04,80-83,away,רבע 4 00:04 80-83
רבע 4,00:04,80-83,away,רבע 4 00:04 80-83
רבע 4,00:04,79-83,away,רבע 4 00:04 79-83
רבע 4,00:04,79-83,away,רבע 4 00:04 79-83
רבע 4,00:04,79-83,away,רבע 4 00:04 79-83
רבע 4,00:04,79-83,home,רבע 4 00:04 79-83
רבע 4,00:07,79-83,home,רבע 4 00:07 79-83
רבע 4,00:07,79-82,home,רבע 4 00:07 79-82
רבע 4,00:07,79-82,away,רבע 4 00:07 79-82
רבע 4,00:07,79-82,away,רבע 4 00:07 79-82
רבע 4,00:07,79-82,away,רבע 4 00:07 79-82
רבע 4,00:07,79-82,away,רבע 4 00:07 79-82
רבע 4,00:07,79-82,home,רבע 4 00:07 79-82
רבע 4,00:07,79-82,away,רבע 4 00:07 79-82
רבע 4,00:10,79-82,away,רבע 4 00:10 79-82
רבע 4,00:10,79-82,away,רבע 4 00:10 79-82
רבע 4,00:10,79-82,home,רבע 4 00:10 79-82
רבע 4,00:10,79-82,away,רבע 4 00:10 79-82
רבע 4,00:10,77-82,away,רבע 4 00:10 77-82
רבע 4,00:11,77-82,away,רבע 4 00:11 77-82
רבע 4,00:13,77-82,away,רבע 4 00:13 77-82
רבע 4,00:15,77-82,away,רבע 4 00:15 77-82
רבע 4,00:15,77-82,home,רבע 4 00:15 77-82
